,Iteration,Loss,Accuracy
0,1,0.34424471855163574,0.8684303164482117
1,2,0.32352831959724426,0.879315197467804
2,3,0.5452646017074585,0.7951951622962952
3,4,0.5461353063583374,0.7817387580871582
4,5,1.1308646202087402,0.8252430558204651
